ticker,exchange,assetType,priceCurrency,startDate,endDate
000153,SHE,Stock,CNY,2007-08-30,2021-07-12
000155,SHE,Stock,CNY,2007-08-30,2021-07-12
000156,SHE,Stock,CNY,2012-10-19,2021-07-12
000157,SHE,Stock,CNY,2007-01-04,2021-07-12
000158,SHE,Stock,CNY,2007-08-30,2021-07-12
000159,SHE,Stock,CNY,2007-01-05,2021-07-12
000166,SHE,Stock,CNY,2015-01-26,2021-07-09
0001753539,NYSE,Stock,USD,,
000301,SHE,Stock,CNY,2007-09-03,2021-07-12
000333,SHE,Stock,CNY,2013-09-18,2021-07-12
000338,SHE,Stock,CNY,2007-04-30,2021-07-12
000400,SHE,Stock,CNY,2007-08-30,2021-07-12
000401,SHE,Stock,CNY,2007-01-04,2021-07-12
000402,SHE,Stock,CNY,2007-01-04,2021-07-12
000403,SHE,Stock,CNY,2013-02-08,2021-07-12
000404,SHE,Stock,CNY,2007-08-30,2021-07-12
000405,SHE,Stock,CNY,,
000406,SHE,Stock,CNY,,
000407,SHE,Stock,CNY,2007-01-04,2021-07-09
000408,SHE,Stock,CNY,2007-08-30,2021-07-12
000409,SHE,Stock,CNY,2007-08-30,2021-07-12
000410,SHE,Stock,CNY,2007-01-04,2021-07-09
000411,SHE,Stock,CNY,2007-01-04,2021-07-12
000412,SHE,Stock,CNY,,
000413,SHE,Stock,CNY,2007-08-30,2021-07-12
000415,SHE,Stock,CNY,2007-08-30,2021-07-12
000416,SHE,Stock,CNY,2007-01-04,2021-07-12
000417,SHE,Stock,CNY,2007-01-04,2021-07-12
000418,SHE,Stock,CNY,2007-08-31,2019-05-07
000419,SHE,Stock,CNY,2007-08-30,2021-07-12
000420,SHE,Stock,CNY,2007-08-30,2021-07-12
000421,SHE,Stock,CNY,2007-08-30,2021-07-12
000422,SHE,Stock,CNY,2007-08-30,2021-07-12
000423,SHE,Stock,CNY,2007-05-10,2021-07-12
000425,SHE,Stock,CNY,2007-01-04,2021-07-12
000426,SHE,Stock,CNY,2007-08-30,2021-07-12
000428,SHE,Stock,CNY,2007-08-30,2021-07-12
000429,SHE,Stock,CNY,2007-01-04,2021-07-12
000430,SHE,Stock,CNY,2007-08-30,2021-07-08
000488,SHE,Stock,CNY,2007-01-04,2021-07-12
000498,SHE,Stock,CNY,2007-01-04,2021-07-12
000501,SHE,Stock,CNY,2007-01-04,2021-07-12
000502,SHE,Stock,CNY,2007-08-30,2021-07-12
000503,SHE,Stock,CNY,2007-08-30,2021-07-12
000504,SHE,Stock,CNY,2007-08-30,2021-07-12
000505,SHE,Stock,CNY,2007-08-30,2021-07-12
000506,SHE,Stock,CNY,2009-06-05,2021-07-12
000507,SHE,Stock,CNY,2007-01-04,2021-07-12
000508,SHE,Stock,CNY,,
000509,SHE,Stock,CNY,2007-08-30,2021-07-12
000510,SHE,Stock,CNY,2007-08-30,2021-07-12
000511,SHE,Stock,CNY,2007-08-30,2018-07-17
000513,SHE,Stock,CNY,2007-01-04,2021-07-12
000514,SHE,Stock,CNY,2007-01-04,2021-07-12
000515,SHE,Stock,CNY,,
000516,SHE,Stock,CNY,2007-08-30,2021-07-12
000517,SHE,Stock,CNY,2009-09-11,2021-07-12
000518,SHE,Stock,CNY,2007-08-30,2021-07-12
000519,SHE,Stock,CNY,2007-08-30,2021-07-12
000520,SHE,Stock,CNY,2015-08-18,2021-07-12
000521,SHE,Stock,CNY,2007-08-30,2021-07-12
000522,SHE,Stock,CNY,,
000523,SHE,Stock,CNY,2007-01-04,2021-07-12
000524,SHE,Stock,CNY,2007-01-04,2021-07-12
000525,SHE,Stock,CNY,2007-08-30,2021-07-12
000526,SHE,Stock,CNY,2007-08-30,2021-07-12
000527,SHE,Stock,CNY,,
000528,SHE,Stock,CNY,2007-01-04,2021-07-08
000529,SHE,Stock,CNY,2009-09-11,2021-07-12
000530,SHE,Stock,CNY,2007-01-04,2021-07-12
000531,SHE,Stock,CNY,2007-01-04,2021-07-12
000532,SHE,Stock,CNY,2007-08-30,2021-07-12
000533,SHE,Stock,CNY,2007-08-30,2021-07-12
000534,SHE,Stock,CNY,2007-01-04,2021-07-12
000535,SHE,Stock,CNY,,
000536,SHE,Stock,CNY,2009-02-04,2021-07-12
000537,SHE,Stock,CNY,2007-01-04,2021-07-12
000538,SHE,Stock,CNY,2007-01-04,2021-07-12
000539,SHE,Stock,CNY,2007-01-04,2021-07-12
000540,SHE,Stock,CNY,2007-08-30,2021-07-12
000541,SHE,Stock,CNY,2007-01-04,2021-07-12
000542,SHE,Stock,CNY,,
000543,SHE,Stock,CNY,2007-01-04,2021-07-12
000544,SHE,Stock,CNY,2007-08-30,2021-07-12
000545,SHE,Stock,CNY,2007-08-30,2021-07-12
000546,SHE,Stock,CNY,2007-08-30,2021-07-12
000547,SHE,Stock,CNY,2007-08-30,2021-07-12
000548,SHE,Stock,CNY,2007-08-30,2021-07-12
000549,SHE,Stock,CNY,,
000550,SHE,Stock,CNY,2007-01-04,2021-07-12
000551,SHE,Stock,CNY,2007-08-30,2021-07-12
000552,SHE,Stock,CNY,2007-01-04,2021-07-12
000553,SHE,Stock,CNY,2007-08-30,2021-07-12
000554,SHE,Stock,CNY,2007-08-30,2021-07-08
000555,SHE,Stock,CNY,2007-01-04,2021-07-12
000556,SHE,Stock,CNY,,
000557,SHE,Stock,CNY,2007-08-30,2021-07-12
000558,SHE,Stock,CNY,2007-08-30,2021-07-12
000559,SHE,Stock,CNY,2007-01-04,2021-07-12
000560,SHE,Stock,CNY,2007-01-04,2021-07-12
000561,SHE,Stock,CNY,2007-08-30,2021-07-12
000562,SHE,Stock,CNY,,
000563,SHE,Stock,CNY,2007-01-04,2021-07-12
000564,SHE,Stock,CNY,2007-08-30,2021-07-12
000565,SHE,Stock,CNY,2007-01-04,2021-07-12
000566,SHE,Stock,CNY,2007-08-30,2021-07-12
000567,SHE,Stock,CNY,2007-08-30,2021-07-09
000568,SHE,Stock,CNY,2007-01-04,2021-07-12
000569,SHE,Stock,CNY,,
000570,SHE,Stock,CNY,2007-08-30,2021-07-12
000571,SHE,Stock,CNY,2007-08-30,2021-07-12
000572,SHE,Stock,CNY,2007-08-30,2021-07-12
000573,SHE,Stock,CNY,2007-01-04,2021-07-12
000576,SHE,Stock,CNY,2007-08-30,2021-07-12
000578,SHE,Stock,CNY,,
000581,SHE,Stock,CNY,2007-01-04,2021-07-12
000582,SHE,Stock,CNY,2007-08-30,2021-07-12
000583,SHE,Stock,CNY,,
000584,SHE,Stock,CNY,2007-08-30,2021-07-12
000585,SHE,Stock,CNY,2007-08-30,2021-07-12
000586,SHE,Stock,CNY,2007-01-04,2021-07-09
000587,SHE,Stock,CNY,2007-08-30,2021-07-12
000588,SHE,Stock,CNY,,
000589,SHE,Stock,CNY,2007-01-04,2021-07-12
000590,SHE,Stock,CNY,2007-08-31,2021-07-12
000591,SHE,Stock,CNY,2007-08-31,2021-07-12
000592,SHE,Stock,CNY,2008-04-14,2021-07-12
000593,SHE,Stock,CNY,2007-08-30,2021-07-12
000594,SHE,Stock,CNY,,
000595,SHE,Stock,CNY,2007-08-30,2021-07-12
000596,SHE,Stock,CNY,2007-01-04,2021-07-12
000597,SHE,Stock,CNY,2007-01-04,2021-07-12
000598,SHE,Stock,CNY,2007-08-30,2021-07-12
000599,SHE,Stock,CNY,2007-01-04,2021-07-12
000600,SHE,Stock,CNY,2007-01-04,2021-07-09
000601,SHE,Stock,CNY,2007-01-04,2021-07-12
000602,SHE,Stock,CNY,,
000603,SHE,Stock,CNY,2007-08-30,2021-07-12
000605,SHE,Stock,CNY,2007-01-04,2021-07-12
000606,SHE,Stock,CNY,2007-08-30,2021-07-12
000607,SHE,Stock,CNY,2007-08-30,2021-07-12
000608,SHE,Stock,CNY,2007-08-30,2021-07-12
000609,SHE,Stock,CNY,2007-08-30,2021-07-12
000610,SHE,Stock,CNY,2007-08-30,2021-07-12
000611,SHE,Stock,CNY,2007-08-30,2021-07-12
000612,SHE,Stock,CNY,2007-01-04,2021-07-09
000613,SHE,Stock,CNY,2007-08-30,2021-07-12
000615,SHE,Stock,CNY,2007-08-30,2021-07-12
000616,SHE,Stock,CNY,2007-08-30,2021-07-12
000617,SHE,Stock,CNY,2007-08-30,2021-07-12
000618,SHE,Stock,CNY,,
000619,SHE,Stock,CNY,2007-01-04,2021-07-12
000620,SHE,Stock,CNY,2011-07-08,2021-07-12
000621,SHE,Stock,CNY,,
000622,SHE,Stock,CNY,2013-02-08,2021-07-12
000623,SHE,Stock,CNY,2007-01-04,2021-07-12
000625,SHE,Stock,CNY,2007-08-30,2021-07-12
000626,SHE,Stock,CNY,2007-08-30,2021-07-12
000627,SHE,Stock,CNY,2007-01-04,2021-07-12
000628,SHE,Stock,CNY,2007-08-30,2021-07-12
000629,SHE,Stock,CNY,2007-11-05,2021-07-12
000630,SHE,Stock,CNY,2007-01-04,2021-07-12
000631,SHE,Stock,CNY,2009-06-08,2021-07-12
000632,SHE,Stock,CNY,2007-08-30,2021-07-12
000633,SHE,Stock,CNY,2007-08-30,2021-07-12
000635,SHE,Stock,CNY,2007-01-04,2021-07-12
000636,SHE,Stock,CNY,2007-08-30,2021-07-12
000637,SHE,Stock,CNY,2007-01-29,2021-07-12
000638,SHE,Stock,CNY,2009-06-05,2021-07-12
000639,SHE,Stock,CNY,2007-08-30,2021-07-12
000650,SHE,Stock,CNY,2007-03-29,2021-07-12
000651,SHE,Stock,CNY,2007-01-04,2021-07-12
000652,SHE,Stock,CNY,2007-01-04,2021-07-12
000653,SHE,Stock,CNY,,
000655,SHE,Stock,CNY,2007-09-11,2021-07-12
000656,SHE,Stock,CNY,2007-01-04,2021-07-12
000657,SHE,Stock,CNY,2007-08-30,2021-07-12
000658,SHE,Stock,CNY,,
000659,SHE,Stock,CNY,2007-08-30,2021-07-12
000660,SHE,Stock,CNY,,
000661,SHE,Stock,CNY,2007-01-19,2021-07-12
000662,SHE,Stock,CNY,2007-08-30,2021-04-09
000663,SHE,Stock,CNY,2007-08-30,2021-07-12
000665,SHE,Stock,CNY,2007-01-04,2021-07-12
000666,SHE,Stock,CNY,2007-01-04,2021-07-12
000667,SHE,Stock,CNY,2007-08-30,2021-07-12
000668,SHE,Stock,CNY,2007-01-22,2021-07-12
000669,SHE,Stock,CNY,2007-08-30,2021-07-09
000670,SHE,Stock,CNY,2013-02-08,2020-03-19
000671,SHE,Stock,CNY,2007-01-04,2021-07-12
000672,SHE,Stock,CNY,2007-01-04,2021-07-12
000673,SHE,Stock,CNY,2007-08-30,2021-07-12
000675,SHE,Stock,CNY,,
000676,SHE,Stock,CNY,2007-08-30,2021-07-12
000677,SHE,Stock,CNY,2007-08-30,2021-07-12
000678,SHE,Stock,CNY,2007-08-30,2021-07-12
000679,SHE,Stock,CNY,2007-08-30,2021-07-12
000680,SHE,Stock,CNY,2007-08-30,2021-07-12
000681,SHE,Stock,CNY,2007-01-04,2021-07-12
000682,SHE,Stock,CNY,2007-01-04,2021-07-09
000683,SHE,Stock,CNY,2007-08-30,2021-07-12
000685,SHE,Stock,CNY,2007-01-04,2021-07-12
000686,SHE,Stock,CNY,2007-01-09,2021-07-12
000687,SHE,Stock,CNY,2007-08-30,2021-07-12
000688,SHE,Stock,CNY,2013-04-26,2021-07-12
000689,SHE,Stock,CNY,,
000690,SHE,Stock,CNY,2007-01-04,2021-07-09
000691,SHE,Stock,CNY,2007-08-30,2021-07-12
000692,SHE,Stock,CNY,2007-08-30,2021-07-12
000693,SHE,Stock,CNY,2014-01-10,2019-07-08
000695,SHE,Stock,CNY,2007-08-30,2021-07-12
000697,SHE,Stock,CNY,2007-08-30,2021-07-12
000698,SHE,Stock,CNY,2007-08-30,2021-07-09
000699,SHE,Stock,CNY,,
000700,SHE,Stock,CNY,2007-01-04,2021-07-12
000701,SHE,Stock,CNY,2007-08-30,2021-07-12
000702,SHE,Stock,CNY,2007-08-30,2021-07-12
000703,SHE,Stock,CNY,2007-01-04,2021-07-12
000705,SHE,Stock,CNY,2007-01-04,2021-07-12
000707,SHE,Stock,CNY,2007-08-30,2021-07-12
000708,SHE,Stock,CNY,2007-08-30,2021-07-12
000709,SHE,Stock,CNY,2007-08-30,2021-07-12
000710,SHE,Stock,CNY,2007-02-12,2021-07-12
000711,SHE,Stock,CNY,2007-08-30,2021-07-12
000712,SHE,Stock,CNY,2007-08-30,2021-07-12
000713,SHE,Stock,CNY,2007-01-04,2021-07-12
000715,SHE,Stock,CNY,2007-01-04,2021-07-12
000716,SHE,Stock,CNY,2007-01-04,2021-07-12
000717,SHE,Stock,CNY,2007-01-04,2021-07-12
000718,SHE,Stock,CNY,2007-01-04,2021-07-12
000719,SHE,Stock,CNY,2007-01-11,2021-07-12
000720,SHE,Stock,CNY,2007-08-30,2021-07-12
000721,SHE,Stock,CNY,2007-08-30,2021-07-12
000722,SHE,Stock,CNY,2007-01-05,2021-07-09
000723,SHE,Stock,CNY,2007-09-05,2021-07-12
000725,SHE,Stock,CNY,2007-01-04,2021-07-12
000726,SHE,Stock,CNY,2007-01-04,2021-07-12
000727,SHE,Stock,CNY,2007-08-30,2021-07-12
000728,SHE,Stock,CNY,2007-03-19,2021-07-09
000729,SHE,Stock,CNY,2007-01-04,2021-07-12
000730,SHE,Stock,CNY,,
000731,SHE,Stock,CNY,2006-07-25,2021-07-12
000732,SHE,Stock,CNY,2010-09-30,2021-07-12
000733,SHE,Stock,CNY,2007-01-04,2021-07-12
000735,SHE,Stock,CNY,2007-01-04,2021-07-12
000736,SHE,Stock,CNY,2007-10-15,2021-07-12
000737,SHE,Stock,CNY,2007-08-30,2021-07-12
000738,SHE,Stock,CNY,2007-08-30,2021-07-12
000739,SHE,Stock,CNY,2007-01-04,2021-07-12
000748,SHE,Stock,CNY,,
000750,SHE,Stock,CNY,2009-01-19,2021-07-12
000751,SHE,Stock,CNY,2007-11-08,2021-07-12
000752,SHE,Stock,CNY,2007-08-30,2021-07-12
000753,SHE,Stock,CNY,2007-08-30,2021-07-12
000755,SHE,Stock,CNY,2007-08-30,2021-07-12
000756,SHE,Stock,CNY,2002-07-01,2021-07-12
000757,SHE,Stock,CNY,2013-02-08,2021-07-09
000758,SHE,Stock,CNY,2007-08-30,2021-07-12
000759,SHE,Stock,CNY,2007-01-04,2021-07-12
000760,SHE,Stock,CNY,2007-08-30,2021-07-09
000761,SHE,Stock,CNY,2007-08-30,2021-07-12
000762,SHE,Stock,CNY,2007-08-30,2021-07-12
000763,SHE,Stock,CNY,,
000765,SHE,Stock,CNY,,
000766,SHE,Stock,CNY,2007-08-30,2021-07-12
000767,SHE,Stock,CNY,2007-08-30,2021-07-12
000768,SHE,Stock,CNY,2007-01-04,2021-07-12
000769,SHE,Stock,CNY,,
000776,SHE,Stock,CNY,2010-02-12,2021-07-12
000777,SHE,Stock,CNY,2007-01-04,2021-07-12
000778,SHE,Stock,CNY,2007-01-04,2021-07-12
000779,SHE,Stock,CNY,2007-08-30,2021-07-09
000780,SHE,Stock,CNY,2007-08-30,2021-07-12
000782,SHE,Stock,CNY,2007-01-04,2021-07-12
000783,SHE,Stock,CNY,2001-04-03,2021-07-12
000785,SHE,Stock,CNY,2007-01-04,2021-07-12
000786,SHE,Stock,CNY,2007-01-04,2021-07-12
000787,SHE,Stock,CNY,,
000788,SHE,Stock,CNY,2007-08-30,2021-07-09
000789,SHE,Stock,CNY,2007-01-04,2021-07-12
000790,SHE,Stock,CNY,2007-08-30,2021-07-12
000791,SHE,Stock,CNY,2007-01-04,2021-07-08
000792,SHE,Stock,CNY,2007-01-04,2020-04-29
000793,SHE,Stock,CNY,2007-08-30,2021-07-12
000795,SHE,Stock,CNY,2007-08-30,2021-07-12
000796,SHE,Stock,CNY,2007-08-30,2021-07-12
000797,SHE,Stock,CNY,2007-01-04,2021-07-09
000798,SHE,Stock,CNY,2007-08-30,2021-07-12
000799,SHE,Stock,CNY,2007-02-16,2021-07-12
000800,SHE,Stock,CNY,2007-08-30,2021-07-12
000801,SHE,Stock,CNY,2007-08-30,2021-07-12
000802,SHE,Stock,CNY,2007-08-30,2021-07-12
000803,SHE,Stock,CNY,2007-08-30,2021-07-12
000805,SHE,Stock,CNY,,
000806,SHE,Stock,CNY,2007-08-30,2021-07-12
000807,SHE,Stock,CNY,2007-08-30,2021-07-12
000809,SHE,Stock,CNY,2007-09-03,2021-07-12
000810,SHE,Stock,CNY,2007-01-04,2021-07-12
000811,SHE,Stock,CNY,2007-08-30,2021-07-12
000812,SHE,Stock,CNY,2007-01-04,2021-07-12
000813,SHE,Stock,CNY,2007-08-30,2021-07-12
000815,SHE,Stock,CNY,2007-08-30,2021-07-12
000816,SHE,Stock,CNY,2007-08-30,2021-07-12
000817,SHE,Stock,CNY,,
000818,SHE,Stock,CNY,2007-08-30,2021-07-12
000819,SHE,Stock,CNY,2007-02-12,2021-07-12
000820,SHE,Stock,CNY,2007-08-30,2021-07-12
000821,SHE,Stock,CNY,2007-08-30,2021-07-12
000822,SHE,Stock,CNY,2007-01-04,2021-07-12
000823,SHE,Stock,CNY,2007-01-04,2021-07-12
000825,SHE,Stock,CNY,2007-01-04,2021-07-12
000826,SHE,Stock,CNY,2007-08-30,2021-07-12
000827,SHE,Stock,CNY,,
000828,SHE,Stock,CNY,2007-01-04,2021-07-12
000829,SHE,Stock,CNY,2007-01-04,2021-07-12
000830,SHE,Stock,CNY,2007-01-04,2021-07-12
000831,SHE,Stock,CNY,2007-01-04,2021-07-12
000832,SHE,Stock,CNY,,
000833,SHE,Stock,CNY,2007-08-30,2021-07-09
000835,SHE,Stock,CNY,2007-08-30,2021-07-09
000836,SHE,Stock,CNY,2007-08-30,2021-07-12
000837,SHE,Stock,CNY,2007-08-30,2021-07-12
000838,SHE,Stock,CNY,2007-10-22,2021-07-12
000839,SHE,Stock,CNY,2007-08-30,2021-07-12
000848,SHE,Stock,CNY,2007-01-04,2021-07-12
000850,SHE,Stock,CNY,2007-01-04,2021-07-12
000851,SHE,Stock,CNY,2007-01-04,2021-07-12
000852,SHE,Stock,CNY,2007-08-30,2021-07-12
000856,SHE,Stock,CNY,2007-08-30,2021-07-09
000858,SHE,Stock,CNY,2007-01-04,2021-07-12
000859,SHE,Stock,CNY,2007-01-04,2021-07-12
000860,SHE,Stock,CNY,2007-01-04,2021-07-12
000861,SHE,Stock,CNY,2007-01-04,2021-07-12
000862,SHE,Stock,CNY,2007-08-30,2021-07-12
000863,SHE,Stock,CNY,2012-08-03,2021-07-09
000866,SHE,Stock,CNY,,
000868,SHE,Stock,CNY,2007-08-30,2021-07-12
000869,SHE,Stock,CNY,2007-01-04,2021-07-12
000875,SHE,Stock,CNY,2007-08-30,2021-07-12
000876,SHE,Stock,CNY,2007-01-04,2021-07-12
000877,SHE,Stock,CNY,2007-01-04,2021-07-12
000878,SHE,Stock,CNY,2007-08-30,2021-07-12
000880,SHE,Stock,CNY,2007-05-08,2021-07-12
000881,SHE,Stock,CNY,2007-08-30,2021-07-12
000882,SHE,Stock,CNY,2007-01-04,2021-07-12
000883,SHE,Stock,CNY,2007-01-04,2021-07-12
000885,SHE,Stock,CNY,2007-08-30,2021-07-12
000886,SHE,Stock,CNY,2007-01-04,2021-07-12
000887,SHE,Stock,CNY,2007-01-05,2021-07-12
000888,SHE,Stock,CNY,2007-01-04,2021-07-12
000889,SHE,Stock,CNY,2007-08-30,2021-07-12
000890,SHE,Stock,CNY,2007-08-30,2021-07-12
000892,SHE,Stock,CNY,2008-04-24,2021-07-09
000893,SHE,Stock,CNY,2007-08-30,2021-07-12
000895,SHE,Stock,CNY,2007-06-29,2021-07-12
000897,SHE,Stock,CNY,2007-08-30,2021-07-08
000898,SHE,Stock,CNY,2007-01-04,2021-07-09
000899,SHE,Stock,CNY,2007-01-04,2021-07-12
000900,SHE,Stock,CNY,2007-01-04,2021-07-12
000901,SHE,Stock,CNY,2007-01-04,2021-07-12
000902,SHE,Stock,CNY,2007-08-30,2021-07-09
000903,SHE,Stock,CNY,2007-01-04,2021-07-12
000905,SHE,Stock,CNY,2007-01-04,2021-07-12
000906,SHE,Stock,CNY,2007-08-30,2021-07-12
000908,SHE,Stock,CNY,2008-06-11,2021-07-12
000909,SHE,Stock,CNY,2007-08-30,2021-07-12
000910,SHE,Stock,CNY,2007-08-30,2021-07-12
000911,SHE,Stock,CNY,2007-08-30,2021-07-12
000912,SHE,Stock,CNY,2007-08-30,2021-07-12
000913,SHE,Stock,CNY,2007-01-04,2021-07-12
000915,SHE,Stock,CNY,2007-01-04,2021-07-12
000916,SHE,Stock,CNY,2007-08-30,2017-12-04
000917,SHE,Stock,CNY,2007-01-04,2021-07-12
000918,SHE,Stock,CNY,2008-05-13,2021-07-12
000919,SHE,Stock,CNY,2007-01-04,2021-07-12
000920,SHE,Stock,CNY,2007-01-04,2021-07-12
000921,SHE,Stock,CNY,2007-08-30,2021-07-12
000922,SHE,Stock,CNY,2007-01-09,2021-07-12
000923,SHE,Stock,CNY,2007-01-08,2021-07-12
000925,SHE,Stock,CNY,2008-04-11,2021-07-12
000926,SHE,Stock,CNY,2007-01-04,2021-07-12
000927,SHE,Stock,CNY,2007-08-30,2021-07-12
000928,SHE,Stock,CNY,2007-01-04,2021-07-12
000929,SHE,Stock,CNY,2007-08-30,2021-07-12
000930,SHE,Stock,CNY,2007-08-30,2021-07-12
000931,SHE,Stock,CNY,2007-08-30,2021-07-12
000932,SHE,Stock,CNY,2007-01-04,2021-07-12
000933,SHE,Stock,CNY,2007-01-04,2021-07-12
000935,SHE,Stock,CNY,2007-01-04,2021-07-12
000936,SHE,Stock,CNY,2007-01-04,2021-07-12
000937,SHE,Stock,CNY,2007-01-04,2021-07-12
000938,SHE,Stock,CNY,2007-01-04,2021-07-12
000939,SHE,Stock,CNY,2007-08-30,2020-12-16
000948,SHE,Stock,CNY,2007-01-04,2021-07-12
000949,SHE,Stock,CNY,2007-01-04,2021-07-12
000950,SHE,Stock,CNY,2007-08-30,2021-07-12
000951,SHE,Stock,CNY,2007-08-30,2021-07-12
000952,SHE,Stock,CNY,2007-01-04,2021-07-12
000953,SHE,Stock,CNY,2007-08-30,2021-07-12
000955,SHE,Stock,CNY,2007-08-30,2021-07-12
000956,SHE,Stock,CNY,,
000957,SHE,Stock,CNY,2007-08-30,2021-07-12
000958,SHE,Stock,CNY,2007-08-30,2021-07-12
000959,SHE,Stock,CNY,2007-08-30,2021-07-12
000960,SHE,Stock,CNY,2007-08-30,2021-07-12
000961,SHE,Stock,CNY,2007-01-04,2021-07-12
000962,SHE,Stock,CNY,2007-08-30,2021-07-12
000963,SHE,Stock,CNY,2007-01-04,2021-07-12
000965,SHE,Stock,CNY,2007-01-05,2021-07-12
000966,SHE,Stock,CNY,2007-01-04,2021-07-12
000967,SHE,Stock,CNY,2018-01-01,2021-07-12
000968,SHE,Stock,CNY,2007-08-30,2021-07-09
000969,SHE,Stock,CNY,2007-08-30,2021-07-12
000970,SHE,Stock,CNY,2007-01-04,2021-07-12
000971,SHE,Stock,CNY,2007-09-07,2021-07-12
000972,SHE,Stock,CNY,2007-08-30,2021-07-12
000973,SHE,Stock,CNY,2007-01-04,2021-07-12
000975,SHE,Stock,CNY,2007-08-30,2021-07-12
000976,SHE,Stock,CNY,2007-09-17,2021-07-12
000977,SHE,Stock,CNY,2007-01-04,2021-07-12
000978,SHE,Stock,CNY,2007-01-04,2021-07-12
000979,SHE,Stock,CNY,2018-02-14,2018-12-27
000980,SHE,Stock,CNY,2007-08-30,2021-07-12
000981,SHE,Stock,CNY,2007-08-30,2021-07-12
000982,SHE,Stock,CNY,2007-08-30,2021-07-12
000983,SHE,Stock,CNY,2007-01-04,2021-07-12
000985,SHE,Stock,CNY,2007-01-04,2021-07-12
000987,SHE,Stock,CNY,2007-08-30,2021-07-12
000988,SHE,Stock,CNY,2007-01-04,2021-07-12
