sent,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1,7,693,197,230,1609,1281,25,7,657,197,151,1610,90,0,0,0,0,0,0,0,0,0,0,0,0
1,7,60,448,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7,25,277,132,18,368,25,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,57,327,427,803,43,591,562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,57,100,694,1282,147,1,151,694,23,6,480,3,94,185,18,762,500,30,1283,592,55,0,0,0,0
1,3,26,105,286,354,45,156,25,10,7,429,2,8,0,0,0,0,0,0,0,0,0,0,0,0
1,3,37,624,625,1165,24,1165,145,77,13,214,37,107,16,24,16,0,0,0,0,0,0,0,0,0
1,3,4,86,326,25,435,18,28,1611,86,25,1006,86,67,51,36,99,13,0,0,0,0,0,0,0
1,180,102,98,763,171,108,4,10,11,1277,20,260,1163,24,8,123,8,24,123,54,9,24,8,24,54
1,545,1426,803,43,591,562,100,1166,1426,229,57,1,151,1,1,98,159,1,1,593,95,0,0,0,0
1,1610,146,25,2,12,146,205,2,7,1092,60,2,1284,25,231,124,64,95,1167,0,0,0,0,0,0
1,9,695,1612,1,60,1168,1613,41,1,1,9,60,1614,9,1,1,0,0,0,0,0,0,0,0,0
1,9,43,250,60,546,1427,149,108,4,1615,189,729,690,9,129,400,18,25,0,0,0,0,0,0,0
1,46,39,264,331,1,4,10,11,1,528,369,1823,528,369,464,284,25,528,54,9,0,0,0,0,0
1,7,693,197,230,25,7,657,197,151,1610,25,1428,7,1609,1281,90,0,0,0,0,0,0,0,0,0
0,1827,6,261,3,332,298,594,386,449,1,1,12,1,386,860,1093,1,1,1,387,1,12,659,1275,56
0,219,1,1,528,1,7,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,186,129,42,94,19,48,115,862,660,30,87,175,217,52,0,0,0,0,0,0,0,0,0,0
0,45,251,501,74,199,696,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,19,57,1828,1,100,73,13,697,14,1285,466,116,563,70,304,1010,1,1,81,1,1,1,1,100,1
1,29,31,1829,70,299,1,161,96,44,1094,21,66,16,24,16,0,0,0,0,0,0,0,0,0,0
0,288,91,51,152,1429,45,14,157,161,116,1830,187,9,0,0,0,0,0,0,0,0,0,0,0,0
1,502,53,72,128,136,502,53,367,120,38,100,57,367,116,9,68,1616,147,151,1831,502,0,0,0,0
1,698,120,72,128,136,260,2,142,1,328,127,698,698,100,57,1,1169,328,127,21,2,142,0,0,0
0,72,128,595,333,227,9,334,1832,25,9,68,21,9,529,227,1832,252,0,0,0,0,0,0,0,0
1,31,176,1,503,863,1,1,1,1,109,25,699,504,1,184,1833,112,0,0,0,0,0,0,0,0
0,19,40,74,700,804,184,1,864,1011,804,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,88,32,463,77,32,764,479,463,77,1834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7,141,733,1095,1,1012,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,505,19,9,529,1286,626,161,72,161,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,61,9,126,119,3,9,25,9,9,68,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6,317,335,237,698,120,4,450,181,100,57,928,41,32,865,13,78,328,127,1,1,661,330,3,13
0,660,32,12,925,407,561,217,25,561,217,12,219,121,0,0,0,0,0,0,0,0,0,0,0,0
0,249,28,25,1287,1275,1430,545,1096,14,289,1097,1013,1,1288,1,0,0,0,0,0,0,0,0,0,0
1,1,462,7,51,8,525,7,1,1835,132,51,525,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,232,1836,14,120,91,152,1289,506,109,81,6,3,1836,14,120,4,331,232,100,57,91,9,1289,506
1,1,232,1836,14,120,91,152,1289,506,109,81,6,3,1836,14,120,4,331,232,100,57,91,9,1289,506
0,19,1014,9,300,1098,765,32,72,128,435,355,805,806,1014,9,333,0,0,0,0,0,0,0,0,0
0,662,229,31,100,299,85,188,145,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,766,27,197,482,124,28,691,6,18,356,290,16,2,0,0,0,0,0,0,0,0,0,0,0,0
1,57,694,300,228,233,1,1,1,1837,1,42,1290,238,0,0,0,0,0,0,0,0,0,0,0,0
1,1617,15,190,123,115,929,327,15,315,71,1170,231,627,866,26,628,596,180,867,1096,112,1,868,318,348
0,178,1,215,1,388,564,1,242,408,1,155,1,178,1,507,0,0,0,0,0,0,0,0,0,0
1,3,807,49,290,629,25,266,201,18,1,807,1618,1,530,18,87,31,185,17,349,13,0,0,0,0
1,111,1095,25,370,7,18,234,275,336,75,930,18,0,0,0,0,0,0,0,0,0,0,0,0,0
1,732,1015,10,7,60,2,5,2,5,65,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1171,206,14,301,230,10,7,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,206,1,630,631,132,17,4,1,1,170,436,337,1619,0,0,0,0,0,0,0,0,0,0,0,0
1,83,311,71,1,451,83,26,69,1291,287,94,869,48,544,4,1,1,170,1,1,0,0,0,0,0
1,198,6,565,239,337,55,195,402,23,62,1431,242,10,11,931,2,99,22,2,20,0,0,0,0,0
1,6,932,14,50,11,60,2,5,29,22,2,5,29,22,0,0,0,0,0,0,0,0,0,0,0
1,6,41,566,1016,10,50,11,25,2,5,29,22,2,5,29,22,0,0,0,0,0,0,0,0,0
1,6,46,14,932,39,27,11,2,5,732,2,5,65,20,0,0,0,0,0,0,0,0,0,0,0
1,6,155,48,195,597,14,39,10,7,2,5,1099,20,145,198,25,13,73,0,0,0,0,0,0,0
1,10,7,6,243,75,3,1017,1018,106,33,25,2,5,2,5,0,0,0,0,0,0,0,0,0,0
1,1292,1,26,356,629,1,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,694,286,15,767,349,1,42,42,101,49,199,61,57,0,0,0,0,0,0,0,0,0,0,0,0
1,50,11,290,1277,20,25,483,2,2,36,65,20,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,146,25,12,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,657,315,1,10,7,25,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,70,217,1428,132,368,51,1172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,220,70,18,807,409,105,130,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,165,694,105,21,10,7,106,132,1432,933,10,7,156,11,0,0,0,0,0,0,0,0,0,0,0
1,385,207,437,27,305,107,78,78,406,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,768,50,11,60,2,2,65,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,357,22,10,7,25,2,5,2,5,357,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,214,7,60,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1173,1,356,10,7,16,24,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,7,132,20,567,8,123,8,567,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,7,25,78,232,288,78,13,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,7,60,316,2,119,808,143,205,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,7,21,2,5,2,5,65,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,43,26,598,1006,1,67,400,547,20,1,47,149,11,382,60,51,51,1838,22,0,0,0,0,0,0
1,27,11,25,2,5,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,27,11,382,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,27,11,60,2,5,2,5,65,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,27,11,60,2,5,2,5,357,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,27,11,2,5,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,599,10,7,102,1,288,24,8,410,8,51,25,36,24,8,1,22,99,13,0,0,0,0,0,0
1,146,132,51,567,8,8,567,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,244,118,100,57,1174,600,663,133,1,1,145,1,44,12,0,0,0,0,0,0,0,0,0,0,0
1,244,188,217,91,67,701,1432,87,3,809,10,7,132,316,78,113,1,1,4,0,0,0,0,0,0
1,404,1620,10,7,105,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,41,530,12,1,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,852,810,52,368,1,769,1288,1006,405,54,259,217,1288,405,54,259,429,1292,259,0,0,0,0,0,0
1,3,1016,50,11,107,2,5,2,5,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,693,197,230,39,25,7,54,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,589,66,3,45,276,132,2,142,89,181,2,8,13,508,0,0,0,0,0,0,0,0,0,0,0
1,99,22,191,22,10,7,50,382,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,319,1100,25,702,403,7,54,291,99,13,8,1175,8,1175,0,0,0,0,0,0,0,0,0,0,0
1,167,690,1,1,201,357,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,50,11,60,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,229,466,300,102,98,389,15,195,1621,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,327,3,870,934,25,207,437,113,1293,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1,229,33,76,306,282,199,664,125,55,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,138,6,935,1622,3,467,1019,250,62,1,4,38,10,11,60,2,29,235,85,2,20,13,73,0,0
0,301,1839,117,162,481,122,568,1,122,195,1,70,92,188,861,63,1,1,0,0,0,0,0,0,0
1,59,6,358,1,66,3,37,205,2,369,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,509,35,100,31,133,1433,55,96,1840,283,315,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,41,566,39,50,11,60,2,5,102,22,2,5,65,20,0,0,0,0,0,0,0,0,0,0
1,6,46,14,932,50,11,25,2,5,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,350,213,159,936,10,7,132,2,5,29,22,2,5,65,20,0,0,0,0,0,0,0,0,0
1,6,1623,531,462,10,7,141,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,484,185,164,871,872,1,1,75,770,1434,872,3,1,100,31,484,133,1,1,871,1,56,1434,1427
1,6,320,3,937,10,7,60,2,5,29,22,2,5,29,22,0,0,0,0,0,0,0,0,0,0
1,6,936,100,57,1,868,253,186,936,350,304,1841,359,162,55,632,868,0,0,0,0,0,0,0,0
1,632,1,1435,300,98,1101,350,75,3,27,12,61,111,6,365,53,1842,1624,17,44,0,0,0,0,0
1,59,1436,1,1843,1,182,690,290,312,299,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,59,873,12,74,25,1,1,10,7,2,5,2,5,0,0,0,0,0,0,0,0,0,0,0,0
1,1437,1,146,132,483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1102,466,300,102,98,389,15,195,1621,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,278,7,25,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,332,298,49,10,7,25,530,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,26,1438,11,1099,20,205,2,5,2,5,13,508,0,0,0,0,0,0,0,0,0,0,0,0,0
1,89,181,14,37,624,2,5,65,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,173,11,3,25,1439,429,1294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1625,938,338,101,1,356,10,7,93,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1626,25,9,569,703,1,115,119,19,1,1,30,1,1,371,1,4,0,0,0,0,0,0,0,0
1,50,11,10,7,85,20,25,483,2,2,36,46,13,0,0,0,0,0,0,0,0,0,0,0,0
1,50,11,10,7,85,20,25,483,2,2,36,46,13,0,0,0,0,0,0,0,0,0,0,0,0
1,50,11,10,7,85,20,25,483,2,2,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,50,11,10,7,85,20,25,483,2,2,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,50,11,10,7,1607,20,25,483,36,65,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,50,11,10,7,1176,20,25,483,2,2,36,65,20,0,0,0,0,0,0,0,0,0,0,0,0
1,50,11,10,7,1176,20,25,483,2,2,36,65,20,0,0,0,0,0,0,0,0,0,0,0,0
1,50,11,10,7,1176,20,25,483,2,2,36,65,20,0,0,0,0,0,0,0,0,0,0,0,0
1,50,11,10,7,1176,20,25,483,2,2,36,65,20,0,0,0,0,0,0,0,0,0,0,0,0
1,50,11,10,7,1277,20,25,483,2,2,36,65,20,0,0,0,0,0,0,0,0,0,0,0,0
1,50,11,10,7,1277,20,25,483,2,78,36,65,22,0,0,0,0,0,0,0,0,0,0,0,0
1,50,11,7,1277,20,25,483,2,2,36,65,20,0,0,0,0,0,0,0,0,0,0,0,0,0
1,50,11,290,1607,20,25,483,2,2,36,65,20,13,508,0,0,0,0,0,0,0,0,0,0,0
1,50,11,290,1176,20,25,483,2,2,36,65,20,0,0,0,0,0,0,0,0,0,0,0,0,0
1,50,11,290,1176,20,25,483,2,2,36,65,20,13,508,0,0,0,0,0,0,0,0,0,0,0
1,561,217,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,561,217,25,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,809,50,11,21,2,5,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,633,4,855,10,7,811,2,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,939,189,54,9,218,60,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,939,189,54,9,218,60,2,548,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,939,189,54,9,218,60,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,939,189,54,9,218,60,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,939,218,60,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,874,382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,598,1096,356,1165,24,1165,290,1,39,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,218,22,2,36,2,114,22,346,14,10,7,114,22,2,36,2,114,22,0,0,0,0,0,0,0
1,218,106,33,215,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,665,1020,36,114,22,10,7,1627,1844,17,21,2,114,22,0,0,0,0,0,0,0,0,0,0,0
1,2,468,150,6,940,657,109,3,532,23,62,1845,4,38,10,11,60,2,29,22,2,65,20,13,73
1,734,273,1177,1,144,195,154,241,15,337,3,4,546,100,427,241,133,110,337,103,3,1,250,0,0
1,6,1,941,510,108,385,23,1021,62,1,4,38,10,11,60,2,8,93,114,22,2,8,13,73,0
1,6,693,197,315,411,23,1021,10,11,60,16,24,16,29,235,85,16,24,16,20,0,0,0,0,0
1,6,771,103,108,531,23,4,333,10,11,60,16,24,16,29,168,16,24,16,20,0,0,0,0,0
1,6,1440,35,321,942,53,88,32,1,4,546,260,267,601,37,1628,943,35,1103,348,0,0,0,0,0
1,6,336,75,35,233,485,23,10,11,60,16,24,16,29,235,85,16,24,16,20,0,0,0,0,0
1,6,336,30,3,521,23,10,11,60,16,24,16,29,22,16,24,16,20,0,0,0,0,0,0,0
1,6,140,133,725,1022,1162,1,120,4,10,11,60,16,24,16,16,24,16,0,0,0,0,0,0,0
1,6,285,1846,122,35,321,1023,23,4,148,944,7,1629,30,132,77,316,16,24,16,357,22,0,0,0
1,6,871,872,48,3,484,23,88,32,1847,39,546,221,50,11,2,20,811,2,65,20,0,0,0,0
1,6,122,321,600,23,4,10,11,25,16,24,16,16,24,16,0,0,0,0,0,0,0,0,0,0
1,29,22,1848,50,11,60,16,2,16,13,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,208,111,1,327,772,12,372,202,140,18,47,570,112,70,602,338,15,0,0,0,0,0,0,0,0
1,29,235,85,3,10,11,60,78,78,65,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,32,430,283,1178,14,502,39,10,7,16,2,198,25,77,316,0,0,0,0,0,0,0,0,0,0
1,165,10,7,242,132,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,165,7,504,141,1024,113,1843,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1295,254,6,1100,39,51,60,403,7,8,1175,144,51,18,9,0,0,0,0,0,0,0,0,0,0
1,1,1835,254,179,14,231,1,499,1,307,51,141,403,7,1,8,1175,0,0,0,0,0,0,0,0
0,1,356,146,945,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,268,549,100,1,338,31,1296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,260,1849,248,1164,1,858,91,21,8,525,403,25,51,7,8,525,260,0,0,0,0,0,0,0,0
1,732,14,10,469,446,25,2,5,2,5,732,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,468,41,566,10,469,446,25,2,5,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,219,50,11,20,1104,21,2,5,65,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,357,22,937,10,11,205,316,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,102,22,14,10,11,60,2,8,2,8,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,102,22,14,10,11,60,2,2,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,114,22,10,7,25,316,2,8,809,946,368,141,0,0,0,0,0,0,0,0,0,0,0,0,0
1,114,22,10,7,25,316,2,809,946,368,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,477,105,356,146,16,24,16,735,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,18,9,1441,51,51,13,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,21,130,146,215,16,1,16,16,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,502,1,1159,704,1,1630,1631,1,213,1022,10,7,8,24,25,1,1,13,0,0,0,0,0,0,0
1,502,733,875,1,17,1,242,7,132,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,549,10,7,60,316,29,235,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,412,135,947,6,92,122,35,195,876,23,62,1,4,38,10,11,60,2,8,93,2,8,0,0,0
1,412,135,947,6,35,195,812,23,62,1,4,38,10,11,60,2,8,93,2,8,0,0,0,0,0
1,412,135,947,6,935,1622,3,467,1019,250,62,1,4,38,10,11,60,2,8,93,2,8,0,0,0
1,412,135,1179,6,154,877,30,35,108,634,23,88,1,4,38,10,11,60,2,8,93,29,235,85,2
1,412,135,1297,6,771,103,108,531,23,88,1850,4,38,10,11,60,2,8,93,29,235,85,2,8,0
1,358,49,10,7,25,809,128,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,365,356,290,2,369,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,428,172,250,100,427,1105,31,1,81,1,1,81,6,243,159,133,1632,1442,1443,52,428,1,1,12,1180
1,10,469,446,25,2,5,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,469,446,2,5,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,469,446,2,5,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,7,1633,172,17,60,2,5,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,43,1,10,7,21,2,369,65,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,27,446,60,2,5,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,27,11,1,14,60,2,5,2,5,1,2,5,2,5,114,22,0,0,0,0,0,0,0,0,0
1,27,11,60,2,5,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,27,11,60,16,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,27,11,60,2,5,2,5,65,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,27,11,60,2,5,2,65,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,27,11,60,2,5,2,5,65,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,27,11,60,2,5,2,5,65,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,27,11,60,2,5,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,27,11,60,2,5,2,5,65,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,27,11,60,2,5,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,27,11,60,2,5,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,27,11,60,2,5,2,5,65,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,27,11,60,2,2,13,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,27,11,1163,78,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,27,11,21,2,5,629,2,5,65,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,27,11,21,2,5,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,27,11,2,5,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,27,11,2,5,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,37,1,132,316,316,483,2,8,2,142,1851,732,1444,20,0,0,0,0,0,0,0,0,0,0,0
1,37,267,132,316,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,937,1,50,11,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
