sent,headline,headline_clean
positive,10 February 2011 - Finnish media company Sanoma Oyj HEL : SAA1V said yesterday its 2010 net profit almost tripled to EUR297 .3 m from EUR107 .1 m for 2009 and announced a proposal for a raised payout .,February finnish medium company Sanoma Oyj HEL SAAV say yesterday net profit almost triple EUR EUR announce proposal raise payout
positive,"A Helsinki : ELIiV today reported EPS of EUR1 .13 for 2009 , an increase over EPS of EUR1 .12 in 2008 .",Helsinki ELIiV today report EPS EUR increase EPS EUR
positive,"Aspo Plc STOCK EXCHANGE RELEASE February 11 , 2011 at8 .45 a.m. ESL Shipping Ltd , part of Aspo Group , has signed a new , long-term contract with Rautaruukki Corporation for the marine transport of raw materials on the Baltic Sea .",Aspo Plc STOCK EXCHANGE RELEASE February ESL Shipping Ltd part Aspo Group sign new longterm contract Rautaruukki Corporation marine transport raw material Baltic Sea
positive,"Commission income increased by 22 % to EUR 4.4 mn , and lending volume rose by 13.5 % .",commission income increase EUR mn lending volume rise
positive,"In January , traffic , measured in revenue passenger kilometres RPK , went up by 3.2 % and capacity , measured in available seat kilometres ASK , rose by 12.2 % .",January traffic measure revenue passenger kilometre RPK go capacity measure available seat kilometre ask rise
positive,"In January-September 2010 , Fiskars ' net profit went up by 14 % year-on-year to EUR 65.4 million and net sales to EUR 525.3 million from EUR 487.7 million .",JanuarySeptember Fiskars net profit go yearonyear EUR million net sale EUR million EUR million
positive,"Net income from life insurance rose to EUR 16.5 mn from EUR 14.0 mn , and net income from non-life insurance to EUR 22.6 mn from EUR 15.2 mn in 2009 .",net income life insurance rise EUR mn EUR mn net income nonlife insurance EUR mn EUR mn
positive,"Nyrstar has also agreed to supply to Talvivaara up to 150,000 tonnes of sulphuric acid per annum for use in Talvivaara 's leaching process during the period of supply of the zinc in concentrate .",Nyrstar also agree supply Talvivaara tonne sulphuric acid per annum use Talvivaara leaching process period supply zinc concentrate
positive,"Sales for both the Department Store Division and Hobby Hall increased by 7 % , while sales for the clothing store subsidiary Seppala decreased by 4 % .",sale Department Store Division Hobby Hall increase sale clothing store subsidiary Seppala decrease
positive,Sales have risen in other export markets .,sale rise export market
positive,Sales increased due to growing market rates and increased operations .,sale increase due grow market rate increase operation
positive,The agreement strengthens our long-term partnership with Nokia Siemens Networks .,agreement strengthen longterm partnership Nokia Siemens Networks
positive,"The agreement was signed with Biohit Healthcare Ltd , the UK-based subsidiary of Biohit Oyj , a Finnish public company which develops , manufactures and markets liquid handling products and diagnostic test systems .",agreement sign Biohit Healthcare Ltd ukbased subsidiary Biohit Oyj finnish public company develop manufacture market liquid handling product diagnostic test system
positive,The company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached EUR 141.7 million .,company also estimate already carry investment lead increase net sale reach EUR million
positive,"The company 's order book stood at 1.5 bln euro $ 2.2 bln on September 30 , 2007 , up by 24.2 pct on the year , with international orders amounting to 365 mln euro $ 534.3 mln .",company order book stand bln euro bln September pct year international order amount mln euro mln
positive,"The company said that paper demand increased in all of its main markets , including of publication papers , and that it increased average paper prices by 4 percent compared with last year .",company say paper demand increase main market include publication paper increase average paper price percent compare last year
positive,"The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .",world second large stainless steel maker say net profit threemonth period december surge euro million US million euro US per share euro million euro per share previous year
positive,"Within the framework of the partnership , Nokia Siemens Networks has signed an initial framework purchase agreement with Sitronics subsidiary , JSC Mikron , which is the largest manufacturer and exporter of microelectronic components in Russia .",within framework partnership Nokia Siemens Networks sign initial framework purchase agreement Sitronics subsidiary JSC Mikron large manufacturer exporter microelectronic component Russia
positive,"Seppala 's revenue increased by 0.2 % to EUR10 .1 m. In Finland , revenue went down by 2.4 % to EUR6 .8 m , while sales abroad rose by 6.2 % to EUR3 .3 m. Sales increased in all the Baltic countries as well as in Russia and Ukraine .",Seppala revenue increase EUR Finland revenue go EUR sale abroad rise EUR Sales increase baltic country well Russia Ukraine
positive,"Shares of Standard Chartered ( STAN ) rose 1.2 % in the FTSE 100 , while Royal Bank of Scotland ( RBS ) shares rose 2 % and Barclays shares ( BARC ) ( BCS ) were up 1.7 % .",share Standard Chartered STAN rise FTSE Royal Bank Scotland RBS share rise Barclays share BARC BCS
positive,Shares of Nokia Corp. rose Thursday after the cell phone maker said its third-quarter earnings almost doubled and its share of the global handset market increased .,share Nokia Corp rise Thursday cell phone maker say thirdquarter earning almost double share global handset market increase
positive,"In its financial report , published on Friday , SEB said its net profit soared to SEK6 .745 bn in 2010 from a year-earlier SEK1 .114 bn and proposed a 50 % dividend increase to SEK1 .50 per share .",financial report publish Friday SEB say net profit soar SEK bn yearearlier SEK bn propose dividend increase SEK per share
positive,Sales for the Department Store Division increased by 15 % and sales for the clothing store subsidiary Seppala increased by 8 % Meanwhile sales for Hobby Hall decreased by 12 % .,sale Department Store Division increase sale clothing store subsidiary Seppala increase meanwhile sale Hobby Hall decrease
neutral,"At the request of Finnish media company Alma Media 's newspapers , research manager Jari Kaivo-oja at the Finland Futures Research Centre at the Turku School of Economics has drawn up a future scenario for Finland 's national economy by using a model developed by the University of Denver .",request finnish medium company Alma Media newspaper research manager Jari Kaivooja Finland Futures Research Centre Turku School Economics draw future scenario Finland national economy use model develop University Denver
neutral,"In Sweden , Gallerix accumulated SEK denominated sales were down 1 % and EUR denominated sales were up 11 % .",Sweden Gallerix accumulate SEK denominate sale EUR denominate sale
neutral,The company supports its global customers in developing new technologies and offers a fast route from product development to applications and volume production .,company support global customer develop new technology offer fast route product development application volume production
neutral,"When this investment is in place , Atria plans to expand into the Moscow market .",investment place Atria plan expand Moscow market
neutral,"`` The new agreement is a continuation to theagreement signed earlier this year with the Lemminkainen Group , whereby Cramo acquired the entire construction machine fleet ofLemminkainen Talo Oy Ita - ja Pohjois Suomo , and signed asimilar agreement , '' said Tatu Hauhio , managing director ofCramo Finland .",` ` new agreement continuation theagreement sign early year Lemminkainen Group whereby Cramo acquire entire construction machine fleet ofLemminkainen Talo Oy Ita ja Pohjois Suomo sign asimilar agreement say Tatu Hauhio manage director ofcramo Finland
positive,"At first the contract envisaged the construction of three ferryboats with an option for two more units , further confirmed at a total value of 500 mln euro ( $ 645.8 mln ) .",first contract envisage construction three ferryboat option two unit confirm total value mln euro mln
neutral,"In June it sold a 30 percent stake to Nordstjernan , and the investment group has now taken up the option to acquire EQT 's remaining shares .",June sell percent stake Nordstjernan investment group take option acquire EQT remain share
positive,"KESKO CORPORATION STOCK EXCHANGE RELEASE 28.02.2008 AT 09.30 1 ( 1 ) Kesko Corporation and Aspo plc today signed an agreement by which Aspo acquires the share capital of Kauko-Telko Ltd , a subsidiary wholly owned by Kesko .",KESKO CORPORATION STOCK EXCHANGE RELEASE Kesko Corporation Aspo plc today sign agreement Aspo acquire share capital KaukoTelko Ltd subsidiary wholly Kesko
positive,Sponda Plc Stock Exchange Release 5 December 2006 at 15.45 EUR 1.5 BILLION SYNDICATED CREDIT FACILITY FOR SPONDA Sponda has signed an agreement for a one-year syndicated credit facility for a total of EUR 1.5 billion .,Sponda Plc Stock Exchange Release December EUR billion SYNDICATED credit facility SPONDA Sponda sign agreement oneyear syndicate credit facility total EUR billion
neutral,STOCK EXCHANGE ANNOUNCEMENT 20 July 2006 1 ( 1 ) BASWARE SHARE SUBSCRIPTIONS WITH WARRANTS AND INCREASE IN SHARE CAPITAL A total of 119 850 shares have been subscribed with BasWare Warrant Program .,STOCK EXCHANGE announcement July BASWARE share subscription warrant increase share capital total share subscribe BasWare Warrant Program
positive,"The contract covers HDO platform , AC800 and CXE880 optical Fttb nodes designed to increase the forward and return path capacity of the transmission networks .",contract cover HDO platform AC CXE optical Fttb node design increase forward return path capacity transmission network
neutral,The new plant is planned to have an electricity generation capacity of up to 350 megawatts ( MW ) and the same heat generation capacity .,new plant plan electricity generation capacity megawatt MW heat generation capacity
positive,"The OMX Helsinki 25 index was up 0.92 pct at 2,518.67 and the Helsinki CAP portfolio index was 0.91 pct higher at 4,711.19 .",omx Helsinki index pct Helsinki CAP portfolio index pct higher
neutral,"- So , the sales growth of cars considerably influence on the tires market '' .",sale growth car considerably influence tire market
neutral,"A maximum of 666,104 new shares can further be subscribed for by exercising B options under the 2004 stock option plan .",maximum new share subscribe exercise b option stock option plan
neutral,"As a result of the share issue , the number of the company 's shares increases by 391,630 shares and the share capital by a total of EUR 15,665.20 .",result share issue number company share increase share share capital total EUR
neutral,"Finnish real estate investor Sponda Plc said on Wednesday 12 March that it has signed agreements with Danske Bank A-S , Helsinki Branch for a 7-year EUR150m credit facility and with Ilmarinen Mutual Pension Insurance Company for a 7-year EUR50m credit facility .",finnish real estate investor Sponda Plc say Wednesday March sign agreement Danske Bank Helsinki Branch year EURm credit facility Ilmarinen Mutual Pension Insurance Company year EURm credit facility
neutral,"On the route between Helsinki in Finland and Tallinn in Estonia , cargo volumes increased by 36 % , while cargo volumes between Finland and Sweden fell by 9 % .",route Helsinki Finland Tallinn Estonia cargo volume increase cargo volume Finland Sweden fall
neutral,"Other measures included increasing synergies and economies of scale within the Grimaldi Group and personnel adjustments , divestments and redelivery of excess tonnage .",measure include increase synergy economy scale within Grimaldi Group personnel adjustment divestment redelivery excess tonnage
positive,"Rinkuskiai raised the sales by 18.1 percent , to 1.37 million liters , while the sales of Kauno Alus grew by 14.3 percent , to 960,000 liters .",Rinkuskiai raise sale percent million liter sale Kauno Alus grow percent liter
neutral,TELECOMWORLDWIRE-7 April 2006-TJ Group Plc sells stake in Morning Digital Design Oy Finnish IT company TJ Group Plc said on Friday 7 April that it had signed an agreement on selling its shares of Morning Digital Design Oy to Edita Oyj .,TELECOMWORLDWIRE April TJ Group Plc sell stake Morning Digital Design Oy Finnish company TJ Group Plc say Friday April sign agreement sell share Morning Digital Design Oy Edita Oyj
positive,TELECOMWORLDWIRE-7 April 2006-TJ Group Plc sells stake in Morning Digital Design Oy Finnish IT company TJ Group Plc said on Friday 7 April that it had signed an agreement on selling its shares of Morning Digital Design Oy to Edita Oyj .,TELECOMWORLDWIRE April TJ Group Plc sell stake Morning Digital Design Oy Finnish company TJ Group Plc say Friday April sign agreement sell share Morning Digital Design Oy Edita Oyj
neutral,"The 718,430 new Series A shares will become subject to trading on the Helsinki Stock Exchange 's Main List , together with the old Series A shares , on July 3 , 2006 .",new Series share become subject trading Helsinki Stock Exchange Main List together old Series share July
neutral,The fuel purchase contracts have been signed with three months ' delivery from this September to November .,fuel purchase contract sign three month delivery September November
neutral,Tiimari operates 194 stores in six countries -- including its core Finnish market -- and generated a turnover of 76.5 mln eur in 2005 .,Tiimari operate store six country include core finnish market generate turnover mln eur
positive,Under this agreement Biohit becomes a focus supplier of pipettors and disposable pipettor tips to VWR customers throughout Europe .,agreement Biohit become focus supplier pipettor disposable pipettor tip VWR customer throughout Europe
positive,"The combination of all services enabling us to offer a complex and strengthened service chain not only limited to the Baltic port connections but also for getting access to the world wide Grimaldi Network into the Mediterranean , Africa and North America `` says Uwe Bakosch .",combination service enable us offer complex strengthen service chain not limited baltic port connection also get access world wide Grimaldi Network Mediterranean Africa North America ` ` say Uwe Bakosch
neutral,No blind-spots coming from 1 vantage point allows investigators to see the whole story in high resolution with no unbroken video .,no blindspot come vantage point allow investigator see whole story high resolution no unbroken video
positive,"The company still expects its turnover in 2010 to slightly increase from the level of 2009 , adding that `` market predictability is still too poor for trustworthy forecasts on the market development of the contract manufacturing business during the current year '' .",company still expect turnover slightly increase level add ` ` market predictability still poor trustworthy forecast market development contract manufacture business current year
positive,The acquisition will considerably increase Kemira 's sales and market position in the Russian metal industry coatings market .,acquisition considerably increase Kemira sale market position russian metal industry coating market
positive,"In January-September 2007 , Finnlines ' net sales rose to EUR 505.4 mn from EUR 473.5 mn in the corresponding period in 2006 .",JanuarySeptember Finnlines net sale rise EUR mn EUR mn corresponding period
positive,"Adjusted for changes in the Group structure , the Division 's net sales increased by 1.7 % .",adjust change Group structure Division net sale increase
positive,"`` The change will optimize the operational efficiencies of our growing business , '' said Julia Prohaska , director of marketing communications for Fiskars .",` ` change optimize operational efficiency grow business say Julia Prohaska director marketing communication fiskar
positive,"`` They would invest not only in the physical infrastructure , but would also provide know-how for managing and developing science and technology parks , '' said Sunrise Valley director Andrius Bagdonas .",` ` would invest not physical infrastructure would also provide knowhow manage develop science technology park say Sunrise Valley director Andrius Bagdonas
positive,"4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V saw its net profit jump to EUR2 .1 m for the last quarter of 2010 from EUR995 ,000 for the same period of 2009 .",February finnish broadband datum communication system provider Teleste Oyj HEL TLTV see net profit jump EUR last quarter EUR period
positive,Finnish Aktia Group 's operating profit rose to EUR 17.5 mn in the first quarter of 2010 from EUR 8.2 mn in the first quarter of 2009 .,Finnish Aktia Group operating profit rise EUR mn first quarter EUR mn first quarter
positive,Finnish Bank of +_land 's consolidated net operating profit increased from EUR 4.8 mn in the first quarter of 2005 to EUR 6.4 mn in the first quarter of 2006 .,Finnish Bank _ land consolidate net operating profit increase EUR mn first quarter EUR mn first quarter
positive,"Finnish financial group Aktia reports operating profit of EUR 44.4 mn in January-September 2009 , up from EUR 37.3 mn in the corresponding period in 2008 .",finnish financial group Aktia report operate profit EUR mn JanuarySeptember EUR mn corresponding period
positive,"Finnish high technology provider Vaahto Group reports net sales of EUR 41.8 mn in the accounting period September 2007 - February 2008 , an increase of 11.2 % from a year earlier .",finnish high technology provider Vaahto Group report net sale EUR mn accounting period September February increase year early
positive,Net sales of Finnish food industry company L+Ænnen Tehtaat 's continuing operations increased by 13 % in 2008 to EUR 349.1 mn from EUR 309.6 mn in 2007 .,net sale finnish food industry company Lnnen Tehtaat continue operation increase EUR mn EUR mn
positive,An individual promotion also generated slightly higher-than-expected revenues .,individual promotion also generate slightly higherthanexpecte revenue
positive,Biohit already services many current Genesis customers and the customer base is expected to expand as a result of this agreement .,Biohit already service many current Genesis customer customer base expect expand result agreement
positive,"Both operating profit and turnover for the three-month period increased , respectively from EUR0 .9 m and EUR8 .3 m , as compared to the corresponding period in 2005 .",operating profit turnover threemonth period increase respectively EUR EUR compare corresponding period
positive,Circulation revenue has increased by 5 % in Finland and 4 % in Sweden in 2008 .,circulation revenue increase Finland Sweden
positive,Clothing chain Sepp+Æl+Æ 's net sales increased by 7.0 % to EUR 30.8 mn .,clothing chain Seppl net sale increase EUR mn
positive,Construction volumes meanwhile grow at a rate of 10-15 percent annually .,construction volume meanwhile grow rate percent annually
positive,Finnish and Swedish construction markets are still experiencing an estimated 4 % annual growth in 2008 .,finnish swedish construction market still experience estimate annual growth
positive,"However , Biohit estimates its total net sales will continue to grow in 2009 , and that favourable trends in net sales will lead to a profit in 2009 .",however Biohit estimate total net sale continue grow favourable trend net sale lead profit
positive,"In 2009 , Fiskars ' cash flow from operating activities amounted to EUR121m , up from EUR97m in the previous year .",Fiskars cash flow operate activity amount EURm EURm previous year
positive,"In Lithuania , operating profit rose to EUR 190,000 from EUR 70,000 in the corresponding period in 2005 .",Lithuania operating profit rise EUR EUR corresponding period
positive,"In the fourth quarter of 2008 , net sales increased by 2 % to EUR 1,050.7 mn from EUR 1,027.0 mn in the fourth quarter of 2007 .",fourth quarter net sale increase EUR mn EUR mn fourth quarter
positive,"International sales rose by 59.8 % to EUR 1,244.4 mn .",international sale rise EUR mn
neutral,Kalmar Espana generated net sales of some 11.3 mln euro $ 14.8 mln in 2005 .,Kalmar Espana generate net sale mln euro mln
positive,Net sales grew in the period to  x20ac 402 million $ 585US million from  x20ac 401 million in 2006 .,net sale grow period xac million US million xac million
positive,Net sales increased to EUR655m in April to June 2010 from EUR438m a year earlier .,net sale increase EURm April June EURm year early
positive,"Net sales rose by 25.5 % year-on-year to EUR59 .6 m , as the number of chargers delivered went up by 41 % to 65.9 million pieces .",net sale rise yearonyear EUR number charger deliver go million piece
positive,"Net sales totaled EUR 93.6 mn , up from EUR 93.2 mn in the corresponding period in 2005 .",net sale total EUR mn EUR mn corresponding period
positive,"Nokia also noted the average selling price of handsets declined during the period , though its mobile phone profit margin rose to more than 22 percent from 13 percent in the year-ago quarter .",Nokia also note average selling price handset decline period though mobile phone profit margin rise percent percent yearago quarter
positive,Operating profit increased by 145.1 % to EUR 8.3 mn from EUR 3.4 mn .,operate profit increase EUR mn EUR mn
positive,Operating profit margin increased from 11.2 % to 11.7 % .,operate profit margin increase
positive,Operating profit rose to EUR 3.11 mn from EUR 1.22 mn in the corresponding period in 2009 .,operate profit rise EUR mn EUR mn corresponding period
positive,Operating profit rose to EUR 5mn from EUR 2.8 mn in the fourth quarter of 2008 .,operate profit rise EUR mn EUR mn fourth quarter
positive,"Operating profit was EUR 24.5 mn , up from EUR 23.0 mn .",operate profit EUR mn EUR mn
positive,"Ramirent 's net sales in the second quarterended June 30 were EURO 128.7 million about U.S. $ 163 million , a 3.3-percent increase compared with EURO 124.6 million for thesecond quarter last year .",ramirent net sale second quarterended June EURO million youS million percent increase compare EURO million thesecond quarter last year
positive,"Revenue grew by 2 percent to  x20ac 580 million $ 743 million , from  x20ac 569 million .",revenue grow percent xac million million xac million
positive,Ruukki announced that it has signed an agreement with Aker Solutions of Norway to supply 24 suction anchors in September 2010 from its Kalajoki unit in Finland .,Ruukki announce sign agreement Aker Solutions Norway supply suction anchor September Kalajoki unit Finland
positive,"Ruukki 's delivery volumes and selling prices showed favourable development and the company 's comparable net sales grew by 50 % year-on-year to EUR647m , CEO Sakari Tamminen said .",Ruukki delivery volume sell price show favourable development company comparable net sale grow yearonyear EURm CEO Sakari Tamminen say
positive,Sanoma Magazines ' net sales are estimated to grow in 2006 .,Sanoma Magazines net sale estimate grow
positive,The bank forecasts Finland 's GDP will grow by 2 % in 2010 and in 2011 .,bank forecast Finland GDP grow
positive,"The circuit 's overall production rate on a weekly basis is now in excess of an average of 40,000 tonnes per day , with volumes in excess of 50,000 tonnes per day being reached on individual days .",circuit overall production rate weekly basis excess average tonne per day volume excess tonne per day reach individual day
positive,"The company 's consolidated operating profit amounted to EUR 15.86 mn , up from EUR 4.14 mn year-on-year .",company consolidate operating profit amount EUR mn EUR mn yearonyear
positive,The Department Store Division reported an increase in sales of 4 per cent .,Department Store Division report increase sale per cent
positive,The fair value of the company 's investment properties grew to EUR 2.803 billion at the end of March 2009 from EUR 2.691 million a year ago .,fair value company investment property grow EUR billion end March EUR million year ago
positive,"The last quarter was the best quarter of 2009 in net sales , and the operating margin rose to 12.2 % .",last quarter good quarter net sale operating margin rise
positive,"The major breweries increased their domestic beer sales by 4.5 per cent last year , to 256.88 million litres from 245.92 million litres in 2004 .",major brewery increase domestic beer sale per cent last year million litre million litre
positive,"The transaction doubles Tecnomens workforse , and adds a fourth to their net sales .",transaction double Tecnomens workforse add fourth net sale
positive,- Operating profit rose by 26.9 % to EUR 105.8 ( 83.4 ) million .,Operating profit rise EUR million
positive,"`` After this purchase , Cramo will become the second largest rental services provider in the Latvian market .",` ` purchase Cramo become second large rental service provider latvian market
positive,"`` The priority for 2009 was to strengthen the company 's balance sheet and increase cash flow , '' CEO Hannu Krook said .",` ` priority strengthen company balance sheet increase cash flow CEO Hannu Krook say
positive,`` The purchase of the operations is part of YIT 's strategy to expand its offering of building system services geographically . '',` ` purchase operation part YIT strategy expand offering build system service geographically
positive,21 October 2010 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit rose to EUR18 .9 m for the first nine months of 2010 from EUR15 .1 m for the same period a year earlier .,October finnish fishing tackle company Rapala VMC Corp HEL RAPV say today net profit rise EUR first nine month EUR period year early
neutral,"A structures BIM ( building information modeling ) software from Tekla , a model-based software provider , has been adopted for the construction management and delivery of a university project in Abu Dhabi .",structure BIM building information model software Tekla modelbased software provider adopt construction management delivery university project Abu Dhabi
positive,"According to Finnish Metso Minerals , the value of the company 's orders has gone up to EUR 1.9 bn in 12 months .",accord Finnish Metso Minerals value company order go EUR bn month
positive,Finnish Aldata Solution has signed a contract of supply its G.O.L.D. system to two French retail chains .,Finnish Aldata Solution sign contract supply gold system two french retail chain
